"","window","log_tf","winsor","model","estimate","std.error","statistic","p.value"
"1","[150,20000]",FALSE,"abs","nudge_rt_acc",-4.84868620873974e-05,1.43735584125056e-05,-3.37333739467129,0.000809576519315193
"2","[150,20000]",FALSE,"none","nudge_rt_acc",-4.84868620873974e-05,1.43735584125056e-05,-3.37333739467129,0.000809576519315193
"3","[150,20000]",FALSE,"quant","nudge_rt_acc",-4.91551832093328e-05,1.44156383083643e-05,-3.40985131271028,0.000711054463443252
"4","[150,20000]",TRUE,"abs","nudge_rt_acc",-0.335632832376016,0.0836323038713608,-4.01319605988937,7.0605932548286e-05
"5","[150,20000]",TRUE,"none","nudge_rt_acc",-0.335632832376016,0.0836323038713608,-4.01319605988937,7.0605932548286e-05
"6","[150,20000]",TRUE,"quant","nudge_rt_acc",-0.338559987005718,0.083854104219114,-4.03748856610581,6.3919739247939e-05
"7","[150,30000]",FALSE,"abs","nudge_rt_acc",-2.93342527441192e-05,1.15583199457584e-05,-2.5379339628753,0.0114917292010668
"8","[150,30000]",FALSE,"none","nudge_rt_acc",-2.93342527441192e-05,1.15583199457584e-05,-2.5379339628753,0.0114917292010668
"9","[150,30000]",FALSE,"quant","nudge_rt_acc",-3.00841296120207e-05,1.15780583069871e-05,-2.59837434001049,0.00967813899913871
"10","[150,30000]",TRUE,"abs","nudge_rt_acc",-0.2694361486637,0.0768715175931916,-3.50501924639463,0.000502958950659368
"11","[150,30000]",TRUE,"none","nudge_rt_acc",-0.2694361486637,0.0768715175931916,-3.50501924639463,0.000502958950659368
"12","[150,30000]",TRUE,"quant","nudge_rt_acc",-0.273449441411749,0.0771151274356698,-3.54598961973918,0.000432712413368695
"13","[200,20000]",FALSE,"abs","nudge_rt_acc",-4.84868620873974e-05,1.43735584125056e-05,-3.37333739467129,0.000809576519315193
"14","[200,20000]",FALSE,"none","nudge_rt_acc",-4.84868620873974e-05,1.43735584125056e-05,-3.37333739467129,0.000809576519315193
"15","[200,20000]",FALSE,"quant","nudge_rt_acc",-4.91551832093328e-05,1.44156383083643e-05,-3.40985131271028,0.000711054463443252
"16","[200,20000]",TRUE,"abs","nudge_rt_acc",-0.335632832376016,0.0836323038713608,-4.01319605988937,7.0605932548286e-05
"17","[200,20000]",TRUE,"none","nudge_rt_acc",-0.335632832376016,0.0836323038713608,-4.01319605988937,7.0605932548286e-05
"18","[200,20000]",TRUE,"quant","nudge_rt_acc",-0.338559987005718,0.083854104219114,-4.03748856610581,6.3919739247939e-05
"19","[200,30000]",FALSE,"abs","nudge_rt_acc",-2.93342527441192e-05,1.15583199457584e-05,-2.5379339628753,0.0114917292010668
"20","[200,30000]",FALSE,"none","nudge_rt_acc",-2.93342527441192e-05,1.15583199457584e-05,-2.5379339628753,0.0114917292010668
"21","[200,30000]",FALSE,"quant","nudge_rt_acc",-3.00841296120207e-05,1.15780583069871e-05,-2.59837434001049,0.00967813899913871
"22","[200,30000]",TRUE,"abs","nudge_rt_acc",-0.2694361486637,0.0768715175931916,-3.50501924639463,0.000502958950659368
"23","[200,30000]",TRUE,"none","nudge_rt_acc",-0.2694361486637,0.0768715175931916,-3.50501924639463,0.000502958950659368
"24","[200,30000]",TRUE,"quant","nudge_rt_acc",-0.273449441411749,0.0771151274356698,-3.54598961973918,0.000432712413368695
"25","[300,20000]",FALSE,"abs","nudge_rt_acc",-4.84868620873974e-05,1.43735584125056e-05,-3.37333739467129,0.000809576519315193
"26","[300,20000]",FALSE,"none","nudge_rt_acc",-4.84868620873974e-05,1.43735584125056e-05,-3.37333739467129,0.000809576519315193
"27","[300,20000]",FALSE,"quant","nudge_rt_acc",-4.91551832093328e-05,1.44156383083643e-05,-3.40985131271028,0.000711054463443252
"28","[300,20000]",TRUE,"abs","nudge_rt_acc",-0.335632832376016,0.0836323038713608,-4.01319605988937,7.0605932548286e-05
"29","[300,20000]",TRUE,"none","nudge_rt_acc",-0.335632832376016,0.0836323038713608,-4.01319605988937,7.0605932548286e-05
"30","[300,20000]",TRUE,"quant","nudge_rt_acc",-0.338559987005718,0.083854104219114,-4.03748856610581,6.3919739247939e-05
"31","[300,30000]",FALSE,"abs","nudge_rt_acc",-2.93342527441192e-05,1.15583199457584e-05,-2.5379339628753,0.0114917292010668
"32","[300,30000]",FALSE,"none","nudge_rt_acc",-2.93342527441192e-05,1.15583199457584e-05,-2.5379339628753,0.0114917292010668
"33","[300,30000]",FALSE,"quant","nudge_rt_acc",-3.00841296120207e-05,1.15780583069871e-05,-2.59837434001049,0.00967813899913871
"34","[300,30000]",TRUE,"abs","nudge_rt_acc",-0.2694361486637,0.0768715175931916,-3.50501924639463,0.000502958950659368
"35","[300,30000]",TRUE,"none","nudge_rt_acc",-0.2694361486637,0.0768715175931916,-3.50501924639463,0.000502958950659368
"36","[300,30000]",TRUE,"quant","nudge_rt_acc",-0.273449441411749,0.0771151274356698,-3.54598961973918,0.000432712413368695
"37","[150,20000]",FALSE,"abs","nudge_rt_att",-8.39272350207765e-06,6.5958516894379e-05,-0.127242453245532,0.898807710872982
"38","[150,20000]",FALSE,"none","nudge_rt_att",-8.39272350207765e-06,6.5958516894379e-05,-0.127242453245532,0.898807710872982
"39","[150,20000]",FALSE,"quant","nudge_rt_att",-7.8779423865338e-06,6.61702450989948e-05,-0.119055662779364,0.905286598672551
"40","[150,20000]",TRUE,"abs","nudge_rt_att",-0.0347932810796448,0.385822180619978,-0.0901795770884282,0.928186308804324
"41","[150,20000]",TRUE,"none","nudge_rt_att",-0.0347932810796448,0.385822180619978,-0.0901795770884282,0.928186308804324
"42","[150,20000]",TRUE,"quant","nudge_rt_att",-0.0336226417843132,0.386930084146567,-0.0868959100414046,0.930794512627963
"43","[150,30000]",FALSE,"abs","nudge_rt_att",-2.95256495731878e-05,5.28462982942767e-05,-0.558707998974177,0.576642678063911
"44","[150,30000]",FALSE,"none","nudge_rt_att",-2.95256495731878e-05,5.28462982942767e-05,-0.558707998974177,0.576642678063911
"45","[150,30000]",FALSE,"quant","nudge_rt_att",-3.13358733037188e-05,5.29525167225819e-05,-0.59177306846221,0.554303748859456
"46","[150,30000]",TRUE,"abs","nudge_rt_att",-0.149143502048229,0.35379378116621,-0.421554900022852,0.673553944263271
"47","[150,30000]",TRUE,"none","nudge_rt_att",-0.149143502048229,0.35379378116621,-0.421554900022852,0.673553944263271
"48","[150,30000]",TRUE,"quant","nudge_rt_att",-0.154007750393151,0.355023121353845,-0.433796395586456,0.664646996624687
"49","[200,20000]",FALSE,"abs","nudge_rt_att",-8.39272350207765e-06,6.5958516894379e-05,-0.127242453245532,0.898807710872982
"50","[200,20000]",FALSE,"none","nudge_rt_att",-8.39272350207765e-06,6.5958516894379e-05,-0.127242453245532,0.898807710872982
"51","[200,20000]",FALSE,"quant","nudge_rt_att",-7.8779423865338e-06,6.61702450989948e-05,-0.119055662779364,0.905286598672551
"52","[200,20000]",TRUE,"abs","nudge_rt_att",-0.0347932810796448,0.385822180619978,-0.0901795770884282,0.928186308804324
"53","[200,20000]",TRUE,"none","nudge_rt_att",-0.0347932810796448,0.385822180619978,-0.0901795770884282,0.928186308804324
"54","[200,20000]",TRUE,"quant","nudge_rt_att",-0.0336226417843132,0.386930084146567,-0.0868959100414046,0.930794512627963
"55","[200,30000]",FALSE,"abs","nudge_rt_att",-2.95256495731878e-05,5.28462982942767e-05,-0.558707998974177,0.576642678063911
"56","[200,30000]",FALSE,"none","nudge_rt_att",-2.95256495731878e-05,5.28462982942767e-05,-0.558707998974177,0.576642678063911
"57","[200,30000]",FALSE,"quant","nudge_rt_att",-3.13358733037188e-05,5.29525167225819e-05,-0.59177306846221,0.554303748859456
"58","[200,30000]",TRUE,"abs","nudge_rt_att",-0.149143502048229,0.35379378116621,-0.421554900022852,0.673553944263271
"59","[200,30000]",TRUE,"none","nudge_rt_att",-0.149143502048229,0.35379378116621,-0.421554900022852,0.673553944263271
"60","[200,30000]",TRUE,"quant","nudge_rt_att",-0.154007750393151,0.355023121353845,-0.433796395586456,0.664646996624687
"61","[300,20000]",FALSE,"abs","nudge_rt_att",-8.39272350207765e-06,6.5958516894379e-05,-0.127242453245532,0.898807710872982
"62","[300,20000]",FALSE,"none","nudge_rt_att",-8.39272350207765e-06,6.5958516894379e-05,-0.127242453245532,0.898807710872982
"63","[300,20000]",FALSE,"quant","nudge_rt_att",-7.8779423865338e-06,6.61702450989948e-05,-0.119055662779364,0.905286598672551
"64","[300,20000]",TRUE,"abs","nudge_rt_att",-0.0347932810796448,0.385822180619978,-0.0901795770884282,0.928186308804324
"65","[300,20000]",TRUE,"none","nudge_rt_att",-0.0347932810796448,0.385822180619978,-0.0901795770884282,0.928186308804324
"66","[300,20000]",TRUE,"quant","nudge_rt_att",-0.0336226417843132,0.386930084146567,-0.0868959100414046,0.930794512627963
"67","[300,30000]",FALSE,"abs","nudge_rt_att",-2.95256495731878e-05,5.28462982942767e-05,-0.558707998974177,0.576642678063911
"68","[300,30000]",FALSE,"none","nudge_rt_att",-2.95256495731878e-05,5.28462982942767e-05,-0.558707998974177,0.576642678063911
"69","[300,30000]",FALSE,"quant","nudge_rt_att",-3.13358733037188e-05,5.29525167225819e-05,-0.59177306846221,0.554303748859456
"70","[300,30000]",TRUE,"abs","nudge_rt_att",-0.149143502048229,0.35379378116621,-0.421554900022852,0.673553944263271
"71","[300,30000]",TRUE,"none","nudge_rt_att",-0.149143502048229,0.35379378116621,-0.421554900022852,0.673553944263271
"72","[300,30000]",TRUE,"quant","nudge_rt_att",-0.154007750393151,0.355023121353845,-0.433796395586456,0.664646996624687
"73","[150,20000]",FALSE,"abs","nudge_rt_mot",-2.42506060687005e-05,5.27703991890325e-05,-0.459549414849615,0.646070844739894
"74","[150,20000]",FALSE,"none","nudge_rt_mot",-2.42506060687005e-05,5.27703991890325e-05,-0.459549414849615,0.646070844739894
"75","[150,20000]",FALSE,"quant","nudge_rt_mot",-2.551875859644e-05,5.29383724464121e-05,-0.482046527257177,0.63001702074219
"76","[150,20000]",TRUE,"abs","nudge_rt_mot",-0.111000647863647,0.30870508827695,-0.359568572332908,0.719345488166419
"77","[150,20000]",TRUE,"none","nudge_rt_mot",-0.111000647863647,0.30870508827695,-0.359568572332908,0.719345488166419
"78","[150,20000]",TRUE,"quant","nudge_rt_mot",-0.117380206698582,0.309586156637267,-0.379151987845868,0.704761290715694
"79","[150,30000]",FALSE,"abs","nudge_rt_mot",1.15655231694487e-05,4.24011136633525e-05,0.27276460852595,0.78516098015465
"80","[150,30000]",FALSE,"none","nudge_rt_mot",1.15655231694487e-05,4.24011136633525e-05,0.27276460852595,0.78516098015465
"81","[150,30000]",FALSE,"quant","nudge_rt_mot",9.41617568748302e-06,4.24893663557123e-05,0.221612523205282,0.824717420463364
"82","[150,30000]",TRUE,"abs","nudge_rt_mot",0.0357247638365359,0.283841442861457,0.125861690514211,0.899898378843937
"83","[150,30000]",TRUE,"none","nudge_rt_mot",0.0357247638365359,0.283841442861457,0.125861690514211,0.899898378843937
"84","[150,30000]",TRUE,"quant","nudge_rt_mot",0.0253840144097439,0.284833607857868,0.0891187476107475,0.929027722303762
"85","[200,20000]",FALSE,"abs","nudge_rt_mot",-2.42506060687005e-05,5.27703991890325e-05,-0.459549414849615,0.646070844739894
"86","[200,20000]",FALSE,"none","nudge_rt_mot",-2.42506060687005e-05,5.27703991890325e-05,-0.459549414849615,0.646070844739894
"87","[200,20000]",FALSE,"quant","nudge_rt_mot",-2.551875859644e-05,5.29383724464121e-05,-0.482046527257177,0.63001702074219
"88","[200,20000]",TRUE,"abs","nudge_rt_mot",-0.111000647863647,0.30870508827695,-0.359568572332908,0.719345488166419
"89","[200,20000]",TRUE,"none","nudge_rt_mot",-0.111000647863647,0.30870508827695,-0.359568572332908,0.719345488166419
"90","[200,20000]",TRUE,"quant","nudge_rt_mot",-0.117380206698582,0.309586156637267,-0.379151987845868,0.704761290715694
"91","[200,30000]",FALSE,"abs","nudge_rt_mot",1.15655231694487e-05,4.24011136633525e-05,0.27276460852595,0.78516098015465
"92","[200,30000]",FALSE,"none","nudge_rt_mot",1.15655231694487e-05,4.24011136633525e-05,0.27276460852595,0.78516098015465
"93","[200,30000]",FALSE,"quant","nudge_rt_mot",9.41617568748302e-06,4.24893663557123e-05,0.221612523205282,0.824717420463364
"94","[200,30000]",TRUE,"abs","nudge_rt_mot",0.0357247638365359,0.283841442861457,0.125861690514211,0.899898378843937
"95","[200,30000]",TRUE,"none","nudge_rt_mot",0.0357247638365359,0.283841442861457,0.125861690514211,0.899898378843937
"96","[200,30000]",TRUE,"quant","nudge_rt_mot",0.0253840144097439,0.284833607857868,0.0891187476107475,0.929027722303762
"97","[300,20000]",FALSE,"abs","nudge_rt_mot",-2.42506060687005e-05,5.27703991890325e-05,-0.459549414849615,0.646070844739894
"98","[300,20000]",FALSE,"none","nudge_rt_mot",-2.42506060687005e-05,5.27703991890325e-05,-0.459549414849615,0.646070844739894
"99","[300,20000]",FALSE,"quant","nudge_rt_mot",-2.551875859644e-05,5.29383724464121e-05,-0.482046527257177,0.63001702074219
"100","[300,20000]",TRUE,"abs","nudge_rt_mot",-0.111000647863647,0.30870508827695,-0.359568572332908,0.719345488166419
"101","[300,20000]",TRUE,"none","nudge_rt_mot",-0.111000647863647,0.30870508827695,-0.359568572332908,0.719345488166419
"102","[300,20000]",TRUE,"quant","nudge_rt_mot",-0.117380206698582,0.309586156637267,-0.379151987845868,0.704761290715694
"103","[300,30000]",FALSE,"abs","nudge_rt_mot",1.15655231694487e-05,4.24011136633525e-05,0.27276460852595,0.78516098015465
"104","[300,30000]",FALSE,"none","nudge_rt_mot",1.15655231694487e-05,4.24011136633525e-05,0.27276460852595,0.78516098015465
"105","[300,30000]",FALSE,"quant","nudge_rt_mot",9.41617568748302e-06,4.24893663557123e-05,0.221612523205282,0.824717420463364
"106","[300,30000]",TRUE,"abs","nudge_rt_mot",0.0357247638365359,0.283841442861457,0.125861690514211,0.899898378843937
"107","[300,30000]",TRUE,"none","nudge_rt_mot",0.0357247638365359,0.283841442861457,0.125861690514211,0.899898378843937
"108","[300,30000]",TRUE,"quant","nudge_rt_mot",0.0253840144097439,0.284833607857868,0.0891187476107475,0.929027722303762
"109","[150,20000]",FALSE,"abs","nudge_rt_se",9.84952177391626e-06,8.20884815108985e-06,1.19986648463081,0.230848809040132
"110","[150,20000]",FALSE,"none","nudge_rt_se",9.84952177391626e-06,8.20884815108985e-06,1.19986648463081,0.230848809040132
"111","[150,20000]",FALSE,"quant","nudge_rt_se",9.87954829873993e-06,8.23518385866007e-06,1.19967549824047,0.23092292567993
"112","[150,20000]",TRUE,"abs","nudge_rt_se",0.0377385364142781,0.0480625997749631,0.785195486531649,0.432769360719998
"113","[150,20000]",TRUE,"none","nudge_rt_se",0.0377385364142781,0.0480625997749631,0.785195486531649,0.432769360719998
"114","[150,20000]",TRUE,"quant","nudge_rt_se",0.0382928560631047,0.0481997655945699,0.794461458281836,0.427363053208328
"115","[150,30000]",FALSE,"abs","nudge_rt_se",3.61742143281132e-06,6.58281989628786e-06,0.549524594292977,0.582921774817102
"116","[150,30000]",FALSE,"none","nudge_rt_se",3.61742143281132e-06,6.58281989628786e-06,0.549524594292977,0.582921774817102
"117","[150,30000]",FALSE,"quant","nudge_rt_se",3.78997199755957e-06,6.59612437041401e-06,0.574575581770252,0.565869367902941
"118","[150,30000]",TRUE,"abs","nudge_rt_se",0.0217303341099486,0.0440667093957426,0.49312359393116,0.622169058185612
"119","[150,30000]",TRUE,"none","nudge_rt_se",0.0217303341099486,0.0440667093957426,0.49312359393116,0.622169058185612
"120","[150,30000]",TRUE,"quant","nudge_rt_se",0.022508770267514,0.0442195578092608,0.509022961391986,0.610988989286063
"121","[200,20000]",FALSE,"abs","nudge_rt_se",9.84952177391626e-06,8.20884815108985e-06,1.19986648463081,0.230848809040132
"122","[200,20000]",FALSE,"none","nudge_rt_se",9.84952177391626e-06,8.20884815108985e-06,1.19986648463081,0.230848809040132
"123","[200,20000]",FALSE,"quant","nudge_rt_se",9.87954829873993e-06,8.23518385866007e-06,1.19967549824047,0.23092292567993
"124","[200,20000]",TRUE,"abs","nudge_rt_se",0.0377385364142781,0.0480625997749631,0.785195486531649,0.432769360719998
"125","[200,20000]",TRUE,"none","nudge_rt_se",0.0377385364142781,0.0480625997749631,0.785195486531649,0.432769360719998
"126","[200,20000]",TRUE,"quant","nudge_rt_se",0.0382928560631047,0.0481997655945699,0.794461458281836,0.427363053208328
"127","[200,30000]",FALSE,"abs","nudge_rt_se",3.61742143281132e-06,6.58281989628786e-06,0.549524594292977,0.582921774817102
"128","[200,30000]",FALSE,"none","nudge_rt_se",3.61742143281132e-06,6.58281989628786e-06,0.549524594292977,0.582921774817102
"129","[200,30000]",FALSE,"quant","nudge_rt_se",3.78997199755957e-06,6.59612437041401e-06,0.574575581770252,0.565869367902941
"130","[200,30000]",TRUE,"abs","nudge_rt_se",0.0217303341099486,0.0440667093957426,0.49312359393116,0.622169058185612
"131","[200,30000]",TRUE,"none","nudge_rt_se",0.0217303341099486,0.0440667093957426,0.49312359393116,0.622169058185612
"132","[200,30000]",TRUE,"quant","nudge_rt_se",0.022508770267514,0.0442195578092608,0.509022961391986,0.610988989286063
"133","[300,20000]",FALSE,"abs","nudge_rt_se",9.84952177391626e-06,8.20884815108985e-06,1.19986648463081,0.230848809040132
"134","[300,20000]",FALSE,"none","nudge_rt_se",9.84952177391626e-06,8.20884815108985e-06,1.19986648463081,0.230848809040132
"135","[300,20000]",FALSE,"quant","nudge_rt_se",9.87954829873993e-06,8.23518385866007e-06,1.19967549824047,0.23092292567993
"136","[300,20000]",TRUE,"abs","nudge_rt_se",0.0377385364142781,0.0480625997749631,0.785195486531649,0.432769360719998
"137","[300,20000]",TRUE,"none","nudge_rt_se",0.0377385364142781,0.0480625997749631,0.785195486531649,0.432769360719998
"138","[300,20000]",TRUE,"quant","nudge_rt_se",0.0382928560631047,0.0481997655945699,0.794461458281836,0.427363053208328
"139","[300,30000]",FALSE,"abs","nudge_rt_se",3.61742143281132e-06,6.58281989628786e-06,0.549524594292977,0.582921774817102
"140","[300,30000]",FALSE,"none","nudge_rt_se",3.61742143281132e-06,6.58281989628786e-06,0.549524594292977,0.582921774817102
"141","[300,30000]",FALSE,"quant","nudge_rt_se",3.78997199755957e-06,6.59612437041401e-06,0.574575581770252,0.565869367902941
"142","[300,30000]",TRUE,"abs","nudge_rt_se",0.0217303341099486,0.0440667093957426,0.49312359393116,0.622169058185612
"143","[300,30000]",TRUE,"none","nudge_rt_se",0.0217303341099486,0.0440667093957426,0.49312359393116,0.622169058185612
"144","[300,30000]",TRUE,"quant","nudge_rt_se",0.022508770267514,0.0442195578092608,0.509022961391986,0.610988989286063
